"SourceFile","ReferencedFile"
"F:\GitHub\p32-animatronic-bot\config\test_single_eye.json","config/components/positioned/goblin_left_eye.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_arm_left.json","config/components/positioned/goblin/arm_components/left/shoulder_flexion_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_arm_left.json","config/components/positioned/goblin/arm_components/left/shoulder_abduction_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_arm_left.json","config/components/positioned/goblin/arm_components/left/shoulder_rotation_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_arm_left.json","config/components/positioned/goblin/arm_components/left/elbow_flexion_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_arm_left.json","config/components/positioned/goblin/arm_components/left/forearm_rotation_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_arm_left.json","config/components/positioned/goblin/arm_components/left/wrist_flexion_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_arm_left.json","config/components/positioned/goblin/arm_components/left/wrist_rotation_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_arm_left.json","config/components/positioned/goblin/arm_components/left/arm_status_led.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_arm_right.json","config/components/positioned/goblin/arm_components/right/shoulder_flexion_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_arm_right.json","config/components/positioned/goblin/arm_components/right/shoulder_abduction_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_arm_right.json","config/components/positioned/goblin/arm_components/right/shoulder_rotation_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_arm_right.json","config/components/positioned/goblin/arm_components/right/elbow_flexion_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_arm_right.json","config/components/positioned/goblin/arm_components/right/forearm_rotation_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_arm_right.json","config/components/positioned/goblin/arm_components/right/wrist_flexion_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_arm_right.json","config/components/positioned/goblin/arm_components/right/wrist_rotation_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_arm_right.json","config/components/positioned/goblin/arm_components/right/arm_status_led.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_hand_left.json","config/components/positioned/goblin/hand_components/left/thumb_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_hand_left.json","config/components/positioned/goblin/hand_components/left/index_finger_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_hand_left.json","config/components/positioned/goblin/hand_components/left/middle_finger_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_hand_left.json","config/components/positioned/goblin/hand_components/left/ring_finger_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_hand_left.json","config/components/positioned/goblin/hand_components/left/pinky_finger_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_hand_left.json","config/components/positioned/goblin/hand_components/left/hand_status_led.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_leg_left.json","config/components/positioned/goblin/leg_components/left/hip_flexion_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_leg_left.json","config/components/positioned/goblin/leg_components/left/hip_abduction_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_leg_left.json","config/components/positioned/goblin/leg_components/left/hip_rotation_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_leg_left.json","config/components/positioned/goblin/leg_components/left/knee_flexion_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_leg_left.json","config/components/positioned/goblin/leg_components/left/ankle_flexion_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_leg_left.json","config/components/positioned/goblin/leg_components/left/ankle_rotation_servo.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_leg_left.json","config/components/positioned/goblin/leg_components/left/leg_status_led.json"
"F:\GitHub\p32-animatronic-bot\config\bots\goblin_full_torso.json","config/components/positioned/goblin/torso_components/power_management_system.json"
